SUSPECTED_CRIME_DESCRIPTION,MONTH2,ISSUING_OFFICER_RANK,STOP_DURATION_MINUTES,SUSPECT_ARRESTED_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_BORO_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,MONTH_NUM
MENACING,January,POM,10,N,32,MALE,BLACK,MANHATTAN,984781,198509,1
CPW,January,POM,3,Y,23,MALE,WHITE HISPANIC,BROOKLYN,1015557,170379,1
CPW,January,POM,5,N,30,MALE,WHITE HISPANIC,BROOKLYN,1005940,197103,1
CPW,January,POM,2,N,20,MALE,BLACK,QUEENS,1049830,185439,1
CPW,January,POF,14,Y,25,MALE,BLACK HISPANIC,BRONX,1013821,252710,1
ASSAULT,January,POF,19,N,14,MALE,WHITE HISPANIC,MANHATTAN,983845,205719,1
CPW,January,POM,1,N,26,MALE,BLACK,MANHATTAN,999643,228852,1
MENACING,January,POM,5,N,41,MALE,BLACK,MANHATTAN,1000287,230097,1
CPW,January,POM,10,Y,65,MALE,BLACK,MANHATTAN,989173,221221,1
ROBBERY,January,POF,13,Y,29,MALE,BLACK,BRONX,1008653,248413,1
CPW,January,POM,10,Y,27,MALE,BLACK,BROOKLYN,1002041,186193,1
ROBBERY,January,POM,10,Y,26,MALE,BLACK,BRONX,1006971,242703,1
ASSAULT,January,POM,5,N,50,MALE,ASIAN / PACIFIC ISLANDER,BROOKLYN,980043,175041,1
ROBBERY,January,POM,1,N,14,MALE,BLACK,BROOKLYN,983024,177659,1
AUTO STRIPPIG,January,POM,45,N,31,MALE,BLACK,MANHATTAN,993896,233936,1
GRAND LARCENY AUTO,January,POM,17,Y,36,MALE,BLACK,BRONX,1027799,245412,1
CPW,January,POM,10,N,40,MALE,BLACK,BROOKLYN,1015324,182395,1
CPW,January,POM,5,Y,22,MALE,WHITE HISPANIC,BROOKLYN,1014603,179438,1
CPW,January,POM,5,Y,17,MALE,BLACK,BROOKLYN,1001614,186927,1
ASSAULT,January,DTS,5,Y,55,MALE,BLACK,QUEENS,1046799,156399,1
MENACING,January,POM,13,Y,76,MALE,ASIAN / PACIFIC ISLANDER,STATEN ISLAND,950712,145621,1
CRIMINAL TRESPASS,January,POM,6,N,47,MALE,BLACK,MANHATTAN,984485,206525,1
UNAUTHORIZED USE OF A VEHICLE,January,POM,5,Y,44,MALE,BLACK,BRONX,1017865,240386,1
PETIT LARCENY,January,POF,3,Y,35,FEMALE,WHITE,BROOKLYN,977764,170616,1
CPW,January,POF,11,N,32,FEMALE,WHITE,BROOKLYN,976812,171016,1
CRIMINAL TRESPASS,January,POM,5,N,43,MALE,WHITE HISPANIC,BROOKLYN,977629,174468,1
CPW,January,POM,3,N,19,MALE,BLACK,BROOKLYN,1008694,179350,1
ROBBERY,January,POM,8,N,18,MALE,BLACK HISPANIC,QUEENS,1031244,193896,1
PETIT LARCENY,January,POM,30,Y,33,MALE,BLACK,QUEENS,1032519,214886,1
